ID,layers,activations,optimizer,learning_rate,batch_size,epochs,dropout,batch_norm,kernel_regularizer,bias_regularizer,initializer,train_mae,val_mae,test_mae
1,"[128, 256, 64, 256]","['relu', 'tanh', 'elu', 'tanh']",sgd,0.005,32,15,"[0.2, 0.2, 0.2, 0.3]","[True, False, False, False]",<keras.regularizers.L2 object at 0x0000026F83C96740>,<keras.regularizers.L1 object at 0x0000026F83C4DF30>,GlorotUniform,,,
2,"[16, 128]","['elu', 'elu']",sgd,0.005,128,15,"[0.0, 0.3]","[True, True]",<keras.regularizers.L2 object at 0x0000026F802B9C30>,<keras.regularizers.L2 object at 0x0000026F802BADD0>,RandomNormal,,,
3,"[64, 128, 128, 16]","['tanh', 'relu', 'tanh', 'tanh']",sgd,0.01,32,32,"[0.0, 0.0, 0.2, 0.1]","[False, True, False, False]",<keras.regularizers.L1 object at 0x0000026F8159D630>,<keras.regularizers.L1 object at 0x0000026F8159D510>,GlorotUniform,86426.078125,87818.7109375,84983.1015625
4,"[128, 128, 256, 64]","['elu', 'relu', 'swish', 'elu']",sgd,0.0005,128,15,"[0.3, 0.3, 0.1, 0.1]","[False, False, False, False]",<keras.regularizers.L1 object at 0x0000026F81684C40>,None,RandomNormal,,,
5,"[32, 128, 128]","['relu', 'elu', 'swish']",adam,0.01,256,94,"[0.0, 0.3, 0.0]","[False, True, True]",<keras.regularizers.L1 object at 0x0000026F8015EBF0>,None,GlorotUniform,31828.853515625,33788.7265625,34353.4921875
6,"[16, 16]","['swish', 'relu']",rmsprop,0.001,16,200,"[0.3, 0.3]","[False, True]",<keras.regularizers.L2 object at 0x0000026F8137D360>,<keras.regularizers.L2 object at 0x0000026F8137F430>,GlorotUniform,41024.8515625,40802.66796875,41275.3125
7,"[256, 32, 32, 16]","['swish', 'tanh', 'relu', 'swish']",rmsprop,0.001,16,63,"[0.3, 0.1, 0.0, 0.3]","[True, True, False, False]",None,<keras.regularizers.L2 object at 0x0000026F814DC2B0>,HeNormal,39880.98828125,39900.87109375,40264.01171875
8,"[256, 64, 16, 256]","['elu', 'tanh', 'tanh', 'elu']",rmsprop,0.0001,128,200,"[0.2, 0.2, 0.0, 0.2]","[True, False, False, False]",None,<keras.regularizers.L2 object at 0x0000026F81738550>,RandomNormal,195048.53125,198013.875,194186.984375
9,"[128, 256]","['tanh', 'tanh']",rmsprop,0.005,32,92,"[0.0, 0.2]","[True, True]",None,<keras.regularizers.L2 object at 0x0000026F816E4490>,RandomNormal,32467.716796875,34611.94140625,35060.2890625
10,"[256, 16, 256]","['elu', 'swish', 'swish']",rmsprop,0.0001,16,200,"[0.3, 0.3, 0.3]","[False, False, True]",<keras.regularizers.L1 object at 0x0000026F81555DE0>,<keras.regularizers.L2 object at 0x0000026F81555C00>,GlorotUniform,139847.640625,141328.21875,140493.5
11,"[64, 16]","['swish', 'relu']",adam,0.0001,64,200,"[0.0, 0.2]","[True, False]",<keras.regularizers.L2 object at 0x0000026FFFA6C700>,None,HeNormal,123107.5,125157.6953125,123352.4921875
12,"[128, 64, 16]","['swish', 'relu', 'elu']",adam,0.0001,16,200,"[0.0, 0.1, 0.3]","[False, False, True]",<keras.regularizers.L1 object at 0x0000026FFE133A00>,<keras.regularizers.L2 object at 0x0000026F814DD930>,GlorotUniform,202206.5,205058.75,201419.515625
13,"[16, 32, 32, 128]","['elu', 'tanh', 'relu', 'swish']",rmsprop,0.001,16,92,"[0.0, 0.0, 0.2, 0.1]","[False, True, False, False]",<keras.regularizers.L1 object at 0x0000026F815F59C0>,<keras.regularizers.L2 object at 0x0000026F815F5ED0>,RandomNormal,36190.39453125,36860.421875,37299.1328125
14,"[256, 128, 32, 64]","['tanh', 'swish', 'swish', 'relu']",rmsprop,0.001,128,100,"[0.0, 0.3, 0.2, 0.1]","[False, True, True, False]",<keras.regularizers.L2 object at 0x0000026F814321D0>,<keras.regularizers.L2 object at 0x0000026F81432AD0>,HeNormal,35477.15625,37478.53125,38084.80859375
15,"[128, 16, 16, 32]","['swish', 'relu', 'tanh', 'swish']",adam,0.0005,16,200,"[0.0, 0.0, 0.1, 0.2]","[True, False, False, True]",<keras.regularizers.L2 object at 0x0000026F81653790>,<keras.regularizers.L1 object at 0x0000026F81651030>,GlorotUniform,34486.06640625,36626.5546875,36610.015625
16,"[128, 256, 256]","['swish', 'tanh', 'tanh']",rmsprop,0.0001,128,200,"[0.0, 0.0, 0.2]","[True, False, False]",<keras.regularizers.L2 object at 0x0000026F802898D0>,<keras.regularizers.L1 object at 0x0000026F80289240>,GlorotUniform,206139.515625,209104.8125,205277.9375
17,"[128, 64, 16]","['tanh', 'relu', 'relu']",adam,0.005,16,60,"[0.1, 0.3, 0.1]","[False, False, False]",<keras.regularizers.L2 object at 0x0000026F81782A40>,None,GlorotUniform,35304.546875,36285.85546875,36602.29296875
18,"[256, 128, 64]","['relu', 'swish', 'relu']",sgd,0.01,64,15,"[0.3, 0.3, 0.2]","[True, False, True]",<keras.regularizers.L1 object at 0x0000026F802B9780>,<keras.regularizers.L1 object at 0x0000026F81509B10>,HeNormal,,,
19,"[64, 64, 32]","['relu', 'elu', 'relu']",adam,0.0001,128,200,"[0.3, 0.2, 0.3]","[True, True, False]",None,<keras.regularizers.L2 object at 0x0000026F8174D990>,RandomNormal,170657.25,173189.21875,170430.40625
20,"[256, 256, 64]","['swish', 'relu', 'relu']",adam,0.01,16,40,"[0.3, 0.0, 0.0]","[False, True, True]",<keras.regularizers.L2 object at 0x0000026F81684EE0>,None,RandomNormal,35619.84375,36118.54296875,36652.3515625
21,"[32, 16, 32, 32]","['tanh', 'swish', 'elu', 'swish']",adam,0.0001,16,200,"[0.1, 0.3, 0.2, 0.1]","[True, False, True, True]",<keras.regularizers.L1 object at 0x0000026F8187C610>,<keras.regularizers.L1 object at 0x0000026F8187F9A0>,HeNormal,197406.0625,200150.34375,196746.734375
22,"[256, 32, 32, 64]","['elu', 'relu', 'swish', 'relu']",rmsprop,0.005,32,66,"[0.3, 0.1, 0.2, 0.0]","[False, True, False, True]",<keras.regularizers.L1 object at 0x0000026F802D3100>,<keras.regularizers.L1 object at 0x0000026F802D3700>,RandomNormal,36006.3046875,36538.15625,37522.703125
23,"[64, 16, 32]","['tanh', 'elu', 'relu']",sgd,0.001,128,15,"[0.1, 0.1, 0.1]","[False, True, False]",<keras.regularizers.L1 object at 0x0000026F81404220>,<keras.regularizers.L1 object at 0x0000026F81404F70>,RandomNormal,,,
24,"[16, 256]","['swish', 'swish']",rmsprop,0.001,128,200,"[0.3, 0.0]","[True, False]",<keras.regularizers.L1 object at 0x0000026FFE2981F0>,None,HeNormal,43622.98046875,42562.3828125,43233.3046875
25,"[32, 128]","['elu', 'elu']",sgd,0.01,32,15,"[0.2, 0.0]","[False, True]",<keras.regularizers.L2 object at 0x0000026F83C1AEC0>,<keras.regularizers.L1 object at 0x0000026F81541090>,RandomNormal,,,
26,"[16, 128]","['relu', 'relu']",adam,0.01,256,116,"[0.1, 0.1]","[True, True]",<keras.regularizers.L1 object at 0x0000026F8014E8F0>,<keras.regularizers.L1 object at 0x0000026F8014EA70>,HeNormal,36530.6484375,37096.3359375,37331.2421875
27,"[256, 256]","['elu', 'relu']",adam,0.01,128,88,"[0.2, 0.2]","[False, False]",<keras.regularizers.L2 object at 0x0000026F8187F910>,None,HeNormal,36799.25,37109.421875,37436.078125
28,"[16, 128]","['relu', 'swish']",sgd,0.01,32,15,"[0.3, 0.1]","[False, False]",None,<keras.regularizers.L2 object at 0x0000026F81782D70>,GlorotUniform,,,
29,"[256, 128, 32]","['swish', 'tanh', 'elu']",sgd,0.0001,128,15,"[0.1, 0.2, 0.1]","[False, True, False]",None,None,RandomNormal,,,
30,"[128, 128, 32, 64]","['swish', 'relu', 'relu', 'relu']",adam,0.005,32,102,"[0.2, 0.2, 0.0, 0.3]","[True, True, True, False]",<keras.regularizers.L1 object at 0x0000026FFE133A00>,<keras.regularizers.L2 object at 0x0000026F83C4DE10>,GlorotUniform,34900.3359375,35836.296875,36023.32421875
31,"[64, 32]","['tanh', 'tanh']",sgd,0.0005,64,15,"[0.0, 0.1]","[False, True]",<keras.regularizers.L1 object at 0x0000026F8141E110>,<keras.regularizers.L1 object at 0x0000026F8141DB40>,HeNormal,,,
32,"[128, 32]","['relu', 'elu']",adam,0.005,32,67,"[0.0, 0.2]","[True, False]",None,None,GlorotUniform,37407.80078125,37509.55859375,38331.83203125
33,"[16, 64]","['relu', 'tanh']",adam,0.005,16,103,"[0.3, 0.3]","[False, True]",<keras.regularizers.L2 object at 0x0000026F818285E0>,<keras.regularizers.L2 object at 0x0000026F8182BCD0>,HeNormal,37730.9140625,38027.078125,38245.3828125
34,"[256, 16, 64, 16]","['elu', 'relu', 'relu', 'elu']",adam,0.005,128,200,"[0.3, 0.3, 0.0, 0.1]","[True, True, True, True]",None,None,RandomNormal,38713.0546875,39500.02734375,40339.42578125
35,"[32, 256, 256, 64]","['swish', 'relu', 'swish', 'tanh']",rmsprop,0.0005,256,200,"[0.0, 0.3, 0.0, 0.2]","[False, True, True, True]",None,<keras.regularizers.L1 object at 0x0000026F81A07340>,HeNormal,204794.96875,207706.921875,203958.375
36,"[256, 64, 64, 32]","['tanh', 'swish', 'relu', 'elu']",rmsprop,0.0005,32,200,"[0.1, 0.3, 0.0, 0.0]","[False, True, False, True]",<keras.regularizers.L1 object at 0x0000026F81A7CFA0>,None,HeNormal,149557.21875,151189.296875,149555.390625
37,"[256, 256]","['elu', 'tanh']",rmsprop,0.0001,256,18,"[0.3, 0.3]","[True, True]",<keras.regularizers.L1 object at 0x0000026F8150B1F0>,None,RandomNormal,206707.75,209672.9375,205846.3125
38,"[128, 64, 256]","['swish', 'elu', 'tanh']",sgd,0.005,32,15,"[0.2, 0.1, 0.1]","[True, True, False]",<keras.regularizers.L2 object at 0x0000026F81A591E0>,None,GlorotUniform,,,
39,"[16, 16]","['tanh', 'relu']",sgd,0.01,32,15,"[0.3, 0.1]","[True, True]",None,None,GlorotUniform,,,
40,"[256, 256]","['tanh', 'relu']",adam,0.0005,16,139,"[0.3, 0.1]","[True, True]",None,<keras.regularizers.L2 object at 0x0000026F8028A0E0>,RandomNormal,37544.5546875,37619.34765625,38290.08984375
41,"[16, 256]","['elu', 'elu']",adam,0.0005,128,200,"[0.2, 0.3]","[True, True]",<keras.regularizers.L2 object at 0x0000026F81956C80>,<keras.regularizers.L1 object at 0x0000026F81957FD0>,HeNormal,170087.46875,172208.46875,170188.09375
42,"[32, 128, 32]","['swish', 'swish', 'relu']",adam,0.005,256,200,"[0.0, 0.3, 0.3]","[True, False, True]",None,None,GlorotUniform,86888.8671875,87773.8203125,88483.15625
43,"[256, 64]","['relu', 'elu']",sgd,0.0005,64,15,"[0.1, 0.2]","[False, True]",<keras.regularizers.L2 object at 0x0000026F81783FA0>,None,HeNormal,,,
44,"[256, 16]","['elu', 'relu']",rmsprop,0.0001,64,200,"[0.1, 0.3]","[True, True]",<keras.regularizers.L2 object at 0x0000026F8150AFB0>,None,HeNormal,206409.765625,209367.8125,205557.0625
45,"[16, 256, 16, 32]","['relu', 'tanh', 'tanh', 'relu']",adam,0.01,256,164,"[0.0, 0.3, 0.2, 0.1]","[False, True, True, True]",None,<keras.regularizers.L1 object at 0x0000026F819D8700>,RandomNormal,37982.4609375,38904.46484375,38711.78515625
46,"[32, 32]","['tanh', 'relu']",adam,0.005,16,92,"[0.0, 0.1]","[True, False]",None,<keras.regularizers.L2 object at 0x0000026F815555A0>,GlorotUniform,37079.94140625,37601.7734375,38502.1875
47,"[32, 128]","['tanh', 'swish']",rmsprop,0.0005,128,200,"[0.2, 0.1]","[False, False]",<keras.regularizers.L1 object at 0x0000026F8160C460>,<keras.regularizers.L1 object at 0x0000026F8160FBE0>,RandomNormal,79437.34375,80542.8203125,77908.96875
48,"[128, 256]","['elu', 'elu']",rmsprop,0.01,256,105,"[0.2, 0.0]","[True, False]",<keras.regularizers.L2 object at 0x0000026F816E50C0>,<keras.regularizers.L2 object at 0x0000026F816E4610>,RandomNormal,36260.1640625,36761.11328125,37213.54296875
49,"[32, 64, 64]","['tanh', 'elu', 'swish']",rmsprop,0.0005,128,200,"[0.3, 0.1, 0.1]","[False, False, False]",<keras.regularizers.L1 object at 0x0000026F81957760>,<keras.regularizers.L2 object at 0x0000026F81957940>,RandomNormal,46716.4140625,46053.6796875,46566.921875
50,"[16, 128]","['elu', 'tanh']",sgd,0.0001,128,15,"[0.1, 0.2]","[True, True]",None,<keras.regularizers.L1 object at 0x0000026F81A587C0>,GlorotUniform,,,
